filepath,class_label,width,height
images\ASC-US\ASC-US_178.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_179.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_18.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_180.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_181.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_182.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_183.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_184.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_185.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_186.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_187.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_188.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_189.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_19.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_190.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_191.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_192.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_193.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_194.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_195.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_196.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_197.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_198.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_199.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_2.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_20.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_200.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_201.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_202.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_203.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_204.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_205.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_206.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_207.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_208.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_209.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_21.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_210.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_211.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_212.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_213.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_214.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_215.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_216.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_217.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_218.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_219.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_22.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_220.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_221.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_222.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_223.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_224.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_225.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_226.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_227.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_228.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_229.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_23.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_230.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_231.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_232.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_233.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_234.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_235.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_236.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_237.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_238.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_239.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_24.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_240.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_241.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_242.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_243.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_244.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_245.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_246.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_247.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_248.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_249.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_25.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_250.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_251.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_252.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_253.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_254.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_255.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_256.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_257.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_258.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_259.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_26.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_260.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_261.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_262.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_263.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_264.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_265.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_266.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_267.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_268.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_269.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_27.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_270.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_271.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_272.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_273.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_274.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_275.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_276.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_277.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_278.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_279.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_28.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_280.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_281.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_282.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_283.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_284.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_285.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_286.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_287.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_288.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_289.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_29.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_290.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_291.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_292.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_293.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_294.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_295.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_296.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_297.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_298.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_299.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_3.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_30.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_300.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_301.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_302.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_303.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_304.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_305.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_306.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_307.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_308.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_309.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_31.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_310.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_311.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_312.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_313.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_314.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_315.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_316.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_317.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_318.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_319.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_32.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_320.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_321.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_322.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_323.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_324.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_325.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_326.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_327.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_328.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_329.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_33.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_330.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_331.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_332.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_333.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_334.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_335.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_336.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_337.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_338.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_339.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_34.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_340.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_341.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_342.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_343.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_344.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_345.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_346.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_347.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_348.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_349.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_35.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_350.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_351.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_352.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_353.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_354.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_355.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_356.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_357.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_358.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_359.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_36.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_360.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_361.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_362.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_363.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_364.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_365.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_366.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_367.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_368.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_369.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_37.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_370.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_371.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_372.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_373.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_374.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_375.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_376.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_377.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_378.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_379.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_38.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_380.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_381.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_382.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_383.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_384.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_385.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_386.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_387.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_388.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_389.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_39.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_390.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_391.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_392.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_393.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_394.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_395.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_396.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_397.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_398.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_399.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_4.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_40.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_400.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_401.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_402.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_403.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_404.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_405.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_406.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_407.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_408.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_409.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_41.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_410.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_411.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_412.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_413.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_414.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_415.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_416.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_417.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_418.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_419.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_42.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_420.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_421.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_422.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_423.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_424.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_425.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_426.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_427.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_428.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_429.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_43.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_430.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_431.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_432.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_433.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_434.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_435.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_436.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_437.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_438.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_439.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_44.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_440.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_441.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_442.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_443.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_444.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_445.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_446.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_447.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_448.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_449.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_45.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_450.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_451.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_452.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_453.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_454.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_455.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_456.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_457.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_458.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_459.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_46.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_460.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_461.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_462.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_463.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_464.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_465.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_466.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_467.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_468.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_469.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_47.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_470.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_471.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_472.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_473.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_474.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_475.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_476.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_477.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_478.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_479.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_48.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_480.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_481.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_482.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_483.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_484.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_485.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_486.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_487.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_488.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_489.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_49.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_490.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_491.jpg,ASC-US,2592,1944
